n,CS2,CS
259,0.0282395872,0.1680463842
260,0.0282737043,0.1681478643
261,0.0283174675,0.1682779471
262,0.0283447286,0.168358928
263,0.0283490643,0.1683718036
264,0.0283422994,0.1683517134
265,0.0284269599,0.1686029653
266,0.0285268822,0.1688990295
267,0.0287172607,0.1694616793
268,0.0289405426,0.1701192012
269,0.0291317421,0.1706802334
270,0.0292917565,0.1711483465
271,0.0294520934,0.1716161222
272,0.0295820145,0.1719942281
273,0.0296791376,0.1722763407
274,0.0298155404,0.1726717708
275,0.0300892835,0.1734626285
276,0.0303308667,0.1741575915
277,0.0305662988,0.1748322017
278,0.0308099053,0.1755275059
279,0.0309632835,0.1759638699
280,0.0310936184,0.1763338266
281,0.0311704816,0.1765516401
282,0.0312385103,0.1767441947
283,0.0313679592,0.1771100201
284,0.0315938351,0.1777465473
285,0.0318942758,0.1785896856
286,0.0321988173,0.1794402889
287,0.0324546767,0.1801518158
288,0.0326477908,0.1806869967
289,0.0327376182,0.1809353978
290,0.0327543496,0.1809816277
291,0.032729716,0.1809135595
292,0.0326246158,0.1806228553
293,0.032419885,0.1800552277
294,0.0322030965,0.1794522122
295,0.031954459,0.1787581018
296,0.0316805724,0.1779903717
297,0.031511933,0.1775160078
298,0.0313446946,0.1770443296
299,0.0311324971,0.176444034
300,0.0310214588,0.1761290969
301,0.0309640931,0.1759661703
302,0.0309216204,0.1758454446
303,0.0308961291,0.1757729476
304,0.0308869407,0.1757468086
305,0.0310062015,0.1760857789
306,0.0311686622,0.1765464874
307,0.03131826,0.1769696586
308,0.0314706155,0.1773995927
309,0.0316001153,0.1777642128
310,0.0317852747,0.1782842526
311,0.0320506975,0.1790270858
312,0.0323928776,0.1799802145
313,0.0326863241,0.1807935953
314,0.0329156822,0.1814267958
315,0.0330357042,0.1817572672
316,0.0330509893,0.1817993106
317,0.0329806789,0.181605834
318,0.0328871698,0.1813482003
319,0.0327652284,0.1810116803
320,0.0326290887,0.1806352366
321,0.0324681252,0.1801891373
322,0.0323121127,0.1797557027
323,0.0321392251,0.1792741619
324,0.0319394437,0.1787160981
325,0.0317345651,0.1781419802
326,0.0315198615,0.1775383383
327,0.0313749351,0.1771297127
328,0.0312604559,0.1768062667
329,0.0312381011,0.176743037
330,0.0312632582,0.1768141913
331,0.0312225682,0.1766990895
332,0.0311097004,0.1763794216
333,0.0310067984,0.1760874737
334,0.0309468233,0.1759170921
335,0.0309165847,0.1758311255
336,0.0309544565,0.1759387862
337,0.0310965873,0.1763422448
338,0.0312232891,0.1767011294
339,0.0313114113,0.1769503074
340,0.0313629678,0.1770959282
341,0.0314555748,0.1773571956
342,0.0316295163,0.1778468902
343,0.0318153916,0.1783686956
344,0.0319689536,0.1787986399
345,0.0321151847,0.1792071001
346,0.0322079399,0.1794657069
347,0.0322381257,0.1795497861
348,0.0321910506,0.1794186461
349,0.0320593183,0.179051161
350,0.0319014003,0.1786096312
351,0.0317796287,0.1782684175
352,0.0316581369,0.1779273361
353,0.0314820648,0.1774318596
354,0.031264983,0.1768190684
355,0.0310784022,0.1762906753
356,0.0308849249,0.1757410736
357,0.0307150651,0.17525714
358,0.030569637,0.1748417486
359,0.0304500895,0.17449954
360,0.0303045773,0.1740820993
361,0.0301957022,0.173769106
362,0.0300967561,0.1734841668
363,0.0299850944,0.1731620465
364,0.0298867737,0.1728779157
365,0.0298310801,0.1727167625
366,0.0297921054,0.1726038973
367,0.0297697961,0.1725392597
368,0.0297253596,0.1724104393
369,0.0296582087,0.172215588
370,0.0295552287,0.1719163421
371,0.0294204767,0.1715239829
372,0.0293261463,0.1712487848
373,0.0292899951,0.1711432006
374,0.0292340157,0.1709795768
375,0.0291630501,0.1707719241
376,0.0291092498,0.1706143306
377,0.0290372313,0.1704031434
378,0.0289786732,0.1702312345
379,0.0289507426,0.1701491774
380,0.0289567766,0.170166908
381,0.0290014518,0.1702981261
382,0.0290457633,0.1704281765
383,0.0291121175,0.1706227345
384,0.029198945,0.170876988
385,0.029311904,0.1712071961
386,0.0294345432,0.1715649823
387,0.0295564218,0.1719198121
388,0.0296815743,0.1722834127
389,0.0297860418,0.1725863314
390,0.0298955772,0.1729033753
391,0.0300589324,0.1733751206
392,0.0302082199,0.1738051206
393,0.0303347126,0.1741686327
394,0.0304043904,0.1743685476
395,0.030440395,0.17447176
396,0.0304745151,0.1745695138
397,0.0304972456,0.1746346061
398,0.0305129561,0.1746795813
399,0.030544051,0.174768564
400,0.0305651963,0.1748290487
